x0,x1,y0,y1,v,a,r
47.0,199.0,24.0,46.0,3.0,0.0,1.0
43.0,195.0,21.0,43.0,4.0,0.0,1.0
39.0,191.0,17.0,39.0,5.0,0.0,1.0
35.0,187.0,12.0,34.0,6.0,0.0,1.0
31.0,183.0,6.0,28.0,7.0,0.0,1.0
27.0,179.0,-1.0,21.0,8.0,0.0,1.0
23.0,175.0,-9.0,13.0,9.0,0.0,1.0
19.0,171.0,-18.0,4.0,10.0,0.0,1.0
15.0,167.0,-28.0,-6.0,10.0,0.0,1.0
11.0,163.0,-19.0,3.0,-9.0,1.0,1.0
7.0,159.0,-10.0,12.0,-8.0,0.0,1.0
3.0,155.0,-2.0,20.0,-7.0,0.0,1.0
151.0,0.0,27.0,0.0,-6.0,0.0,1.0
147.0,0.0,33.0,0.0,-5.0,0.0,1.0
143.0,287.0,38.0,39.0,-4.0,0.0,1.0
139.0,283.0,42.0,43.0,-3.0,0.0,1.0
135.0,279.0,45.0,46.0,-2.0,0.0,1.0
131.0,275.0,47.0,48.0,-1.0,0.0,1.0
127.0,271.0,48.0,49.0,0.0,0.0,1.0
123.0,267.0,48.0,49.0,1.0,0.0,1.0
119.0,263.0,47.0,48.0,2.0,0.0,1.0
115.0,259.0,45.0,46.0,3.0,0.0,1.0
111.0,255.0,42.0,43.0,4.0,0.0,1.0
107.0,251.0,38.0,39.0,5.0,0.0,1.0
103.0,247.0,33.0,34.0,6.0,0.0,1.0
99.0,243.0,27.0,28.0,7.0,0.0,1.0
95.0,239.0,20.0,21.0,8.0,0.0,1.0
91.0,235.0,12.0,13.0,9.0,0.0,1.0
87.0,231.0,3.0,4.0,10.0,0.0,1.0
83.0,227.0,-7.0,-6.0,10.0,0.0,1.0
79.0,223.0,-17.0,-16.0,10.0,0.0,1.0
75.0,219.0,-27.0,-26.0,10.0,0.0,1.0
71.0,215.0,-18.0,-17.0,-9.0,1.0,1.0
67.0,211.0,-9.0,-8.0,-8.0,0.0,1.0
63.0,207.0,-1.0,0.0,-7.0,0.0,1.0
59.0,203.0,6.0,7.0,-6.0,0.0,1.0
55.0,199.0,12.0,13.0,-5.0,0.0,1.0
51.0,195.0,17.0,18.0,-4.0,0.0,1.0
47.0,191.0,21.0,22.0,-3.0,0.0,1.0
43.0,187.0,24.0,25.0,-2.0,0.0,1.0
39.0,183.0,26.0,27.0,-1.0,0.0,1.0
35.0,179.0,27.0,28.0,0.0,0.0,1.0
31.0,175.0,27.0,28.0,1.0,0.0,1.0
27.0,171.0,26.0,27.0,2.0,0.0,1.0
23.0,167.0,24.0,25.0,3.0,0.0,1.0
19.0,163.0,21.0,22.0,4.0,0.0,1.0
15.0,159.0,17.0,18.0,5.0,0.0,1.0
11.0,155.0,12.0,13.0,6.0,0.0,1.0
7.0,151.0,6.0,7.0,7.0,0.0,1.0
3.0,147.0,-1.0,0.0,8.0,0.0,1.0
143.0,0.0,-8.0,0.0,9.0,0.0,1.0
139.0,0.0,-17.0,0.0,10.0,0.0,1.0
135.0,287.0,-27.0,-36.0,10.0,0.0,1.0
131.0,283.0,-18.0,-27.0,-9.0,1.0,1.0
127.0,279.0,-9.0,-18.0,-8.0,0.0,1.0
123.0,275.0,-1.0,-10.0,-7.0,0.0,1.0
119.0,271.0,6.0,-3.0,-6.0,0.0,1.0
115.0,267.0,12.0,3.0,-5.0,0.0,1.0
111.0,263.0,17.0,8.0,-4.0,0.0,1.0
107.0,259.0,21.0,12.0,-3.0,0.0,1.0
103.0,255.0,24.0,15.0,-2.0,0.0,1.0
99.0,251.0,26.0,17.0,-1.0,0.0,1.0
95.0,247.0,27.0,18.0,0.0,0.0,1.0
91.0,243.0,27.0,18.0,1.0,0.0,1.0
87.0,239.0,26.0,17.0,2.0,0.0,1.0
83.0,235.0,24.0,15.0,3.0,0.0,1.0
79.0,231.0,21.0,12.0,4.0,0.0,1.0
75.0,227.0,17.0,8.0,5.0,0.0,1.0
71.0,223.0,12.0,3.0,6.0,0.0,1.0
67.0,219.0,6.0,-3.0,7.0,0.0,1.0
63.0,215.0,-1.0,-10.0,8.0,0.0,1.0
59.0,211.0,-9.0,-18.0,9.0,0.0,1.0
55.0,207.0,-18.0,-27.0,10.0,0.0,1.0
51.0,203.0,-28.0,-37.0,10.0,0.0,1.0
47.0,199.0,-19.0,-28.0,-9.0,1.0,1.0
43.0,195.0,-10.0,-19.0,-8.0,0.0,1.0
39.0,191.0,-2.0,-11.0,-7.0,0.0,1.0
35.0,187.0,5.0,-4.0,-6.0,0.0,1.0
31.0,183.0,11.0,2.0,-5.0,0.0,1.0
27.0,179.0,16.0,7.0,-4.0,0.0,1.0
23.0,175.0,20.0,11.0,-3.0,0.0,1.0
19.0,171.0,23.0,14.0,-2.0,0.0,1.0
15.0,167.0,25.0,16.0,-1.0,0.0,1.0
11.0,163.0,26.0,17.0,0.0,0.0,1.0
7.0,159.0,26.0,17.0,1.0,0.0,1.0
3.0,155.0,25.0,16.0,2.0,0.0,1.0
151.0,0.0,14.0,0.0,3.0,0.0,1.0
147.0,0.0,11.0,0.0,4.0,0.0,1.0
143.0,287.0,7.0,-45.0,5.0,0.0,1.0
139.0,283.0,2.0,-50.0,6.0,0.0,1.0
135.0,279.0,-4.0,-56.0,7.0,0.0,1.0
131.0,275.0,-11.0,-63.0,8.0,0.0,1.0
127.0,271.0,-19.0,-71.0,9.0,0.0,1.0
